,age,ast,blk,drb,fg,fg_2,fg_2_a,fg_3,fg_3_a,fga,ft,fta,gp,gs,mp,orb,pf,player,pos,pts,stl,tov,trb
0,23,40,8,68,134,40,94,94,247,341,44,49,68,6,1055,18,114,Alex Abrines,SG,406,37,33,86
1,26,18,15,95,70,33,80,37,90,170,45,60,38,1,558,20,67,Quincy Acy,PF,222,14,21,115
2,23,86,78,333,374,374,654,0,1,655,157,257,80,80,2389,282,195,Steven Adams,C,905,88,146,615
3,31,78,7,116,185,123,269,62,151,420,83,93,61,45,1580,9,104,Arron Afflalo,SG,515,21,42,125
4,28,12,22,131,89,89,174,0,4,178,29,40,39,15,584,46,77,Alexis Ajinca,C,207,20,31,177
5,28,25,23,107,45,45,86,0,0,86,15,22,62,0,531,51,85,Cole Aldrich,C,105,25,17,158
6,31,139,89,350,500,477,993,23,56,1049,220,271,72,72,2335,174,158,LaMarcus Aldridge,PF,1243,46,98,524
7,27,57,24,115,77,77,167,0,1,168,23,33,61,5,871,105,78,Lavoy Allen,PF,177,18,29,220
8,35,98,29,225,274,259,541,15,54,595,80,130,71,66,1914,166,178,Tony Allen,SG,643,115,100,391
9,26,99,44,374,183,113,254,70,212,466,96,136,61,25,1773,77,102,Al-Farouq Aminu,SF,532,60,94,451
10,38,5,7,22,9,9,19,0,3,22,10,14,12,0,114,9,20,Chris Andersen,C,28,5,5,31
11,34,11,0,21,30,16,36,14,44,80,12,16,30,0,308,3,35,Alan Anderson,SF,86,3,7,24
12,23,66,23,176,186,128,245,58,194,439,102,129,75,10,1228,69,109,Justin Anderson,SF,532,41,66,245
13,23,91,26,175,93,78,169,15,40,209,45,57,72,14,1020,33,63,Kyle Anderson,SG,246,51,39,208
14,28,68,14,218,323,119,267,204,506,773,129,150,72,72,2116,112,142,Ryan Anderson,PF,979,32,55,330
15,22,434,151,558,656,607,1079,49,180,1259,471,612,80,80,2845,142,246,Giannis Antetokounmpo,SF,1832,131,234,700
16,32,213,34,374,602,451,968,151,421,1389,304,365,74,74,2538,62,198,Carmelo Anthony,SF,1659,60,153,436
17,34,3,6,23,10,10,16,0,0,16,5,8,19,0,122,8,11,Joel Anthony,C,25,2,4,31
18,31,175,20,405,326,135,243,191,555,798,93,126,80,80,2773,54,133,Trevor Ariza,SF,936,147,74,459
19,28,42,21,87,95,42,98,53,117,215,19,22,41,7,639,25,76,Darrell Arthur,PF,262,19,36,112
20,30,15,10,115,31,31,65,0,0,65,23,39,31,19,482,48,51,Omer Asik,C,85,5,14,163
21,29,209,1,102,195,100,243,95,274,517,131,161,78,20,1538,15,101,D.J. Augustin,PG,616,31,90,117
22,27,36,11,129,113,26,71,87,210,281,11,15,68,55,1065,13,118,Luke Babbitt,SF,324,21,25,142
23,23,107,8,86,82,59,131,23,86,217,28,43,52,13,857,12,74,Ron Baker,SG,215,34,56,98
24,20,61,7,35,36,33,93,3,22,115,31,37,33,1,405,11,40,Wade Baldwin,PG,106,18,40,46
25,34,81,8,89,172,137,294,35,98,392,40,45,67,0,963,15,82,Leandro Barbosa,SG,419,31,48,104
26,32,193,1,75,142,89,195,53,148,343,44,51,35,6,771,9,30,J.J. Barea,PG,381,14,63,84
27,24,117,15,303,599,521,1058,78,222,1280,242,281,79,79,2803,94,128,Harrison Barnes,PF,1518,66,102,397
28,36,194,26,317,185,98,210,87,263,473,70,89,74,18,1777,70,185,Matt Barnes,SF,527,48,107,387
29,26,206,28,200,295,208,431,87,235,666,143,190,60,19,1705,58,110,Will Barton,SG,820,48,97,258
30,31,21,11,86,107,106,183,1,3,186,77,88,52,0,577,43,45,Brandon Bass,PF,292,14,29,129
31,28,455,29,435,393,258,570,135,405,975,243,284,77,77,2617,46,109,Nicolas Batum,SG,1164,86,194,481
32,28,13,0,9,11,9,27,2,5,32,9,10,3,1,71,3,4,Jerryd Bayless,PG,33,0,9,12
33,30,32,39,222,143,143,279,0,0,279,79,94,75,2,1163,111,166,Aron Baynes,C,365,17,50,333
34,27,177,52,186,295,203,455,92,266,721,119,168,73,64,1963,45,165,Kent Bazemore,SF,801,91,125,231
35,23,267,21,186,637,414,770,223,552,1322,282,342,77,77,2684,53,169,Bradley Beal,SG,1779,83,157,239
36,20,11,0,12,33,24,45,9,28,73,8,10,22,1,165,5,10,Malik Beasley,SG,83,7,8,17
37,28,53,27,153,216,198,363,18,43,406,78,105,56,6,935,40,92,Michael Beasley,PF,528,28,66,193
38,30,147,9,164,264,162,332,102,283,615,150,168,74,0,1778,14,90,Marco Belinelli,SG,780,44,70,178
39,22,28,5,45,47,46,80,1,18,98,6,16,38,1,371,14,21,DeAndre' Bembry,SF,101,8,16,59
40,19,23,22,80,57,29,60,28,101,161,4,11,43,0,574,23,74,Dragan Bender,PF,146,10,32,103
41,23,12,3,53,38,25,44,13,48,92,26,36,23,1,264,25,18,Anthony Bennett,PF,115,5,12,78
42,21,0,0,2,0,0,2,0,1,3,0,0,3,0,10,0,1,Ben Bentil,PF,0,0,1,2
43,24,46,28,77,103,34,61,69,173,234,28,34,67,6,808,22,75,Davis Bertans,PF,303,20,32,99
44,28,281,25,299,228,118,255,110,288,543,73,95,67,67,2058,95,222,Patrick Beverley,SG,639,99,100,394
45,24,74,91,410,179,179,339,0,0,339,125,234,81,27,1793,157,202,Bismack Biyombo,C,483,25,95,567
46,28,79,20,187,151,95,179,56,177,356,45,61,65,1,1190,57,154,Nemanja Bjelica,PF,403,40,59,244
47,25,39,44,199,150,149,292,1,2,294,82,109,67,16,1091,143,173,Tarik Black,C,383,30,58,342
48,27,418,31,268,449,345,724,104,310,1034,388,458,66,66,2176,52,164,Eric Bledsoe,PG,1390,92,223,320
49,27,111,7,240,376,232,453,144,392,845,217,243,81,54,2083,37,146,Bojan Bogdanovic,SF,1113,34,130,277
50,32,49,25,162,38,38,80,0,1,81,3,11,27,21,583,56,86,Andrew Bogut,C,79,13,43,218
51,23,2,2,13,9,8,12,1,4,16,3,6,12,0,53,4,1,Joel Bolomboy,PF,22,1,2,17
52,20,268,21,203,606,459,1026,147,405,1431,367,441,78,78,2730,46,242,Devin Booker,SG,1726,72,241,249
53,29,138,28,428,305,280,513,25,78,591,74,110,71,43,1754,142,152,Trevor Booker,PF,709,76,127,570
54,26,121,11,269,359,251,498,108,277,775,68,93,55,55,1835,65,141,Avery Bradley,SG,894,68,88,334
55,30,97,19,134,147,120,230,27,118,348,50,68,82,11,1281,32,133,Corey Brewer,SF,371,61,55,166
56,24,317,12,166,290,212,442,78,193,635,109,126,75,28,1982,47,140,Malcolm Brogdon,SG,767,84,113,213
57,32,125,9,51,121,73,172,48,128,300,32,40,65,0,894,18,93,Aaron Brooks,PG,322,25,66,69
58,24,8,1,25,18,11,23,7,27,50,0,0,11,0,159,8,15,Anthony Brown,SF,43,5,6,33
59,32,14,0,6,23,9,25,14,35,60,2,2,25,0,123,0,5,Bobby Brown,PG,62,1,5,6
60,20,64,18,175,192,146,288,46,135,423,85,124,78,20,1341,45,142,Jaylen Brown,SF,515,35,68,220
61,23,47,8,69,52,23,46,29,95,141,17,22,54,2,521,26,43,Nicolas Brussino,SF,150,17,26,95
62,25,29,3,51,54,26,55,28,73,128,5,7,31,5,467,13,22,Reggie Bullock,SF,141,18,10,64
63,24,100,5,40,116,85,185,31,70,255,22,29,57,0,703,7,54,Trey Burke,PG,285,11,48,47
64,25,30,5,103,99,74,172,25,76,248,60,78,42,0,653,17,50,Alec Burks,SG,283,18,35,120
65,27,417,32,341,570,479,1004,91,248,1252,585,676,76,75,2809,129,112,Jimmy Butler,SF,1816,143,159,470
66,21,4,1,5,6,4,10,2,6,16,0,0,9,0,40,5,4,Bruno Caboclo,SF,14,2,2,10
67,35,88,1,59,55,35,70,20,64,134,11,12,41,13,539,15,36,Jose Calderon,PG,141,11,41,74
68,23,193,12,193,370,217,491,153,437,928,154,185,76,75,2529,55,118,Kentavious Caldwell-Pope,SG,1047,89,86,248
69,25,37,1,43,63,38,79,25,94,173,30,33,39,0,592,6,35,Isaiah Canaan,SG,181,22,20,49
70,22,64,80,348,362,362,563,0,0,563,94,177,65,59,1551,178,179,Clint Capela,C,818,34,87,526
71,30,74,27,212,220,111,229,109,320,549,89,117,72,72,1882,63,143,DeMarre Carroll,SF,638,81,54,275
72,40,133,36,191,193,81,194,112,296,490,88,115,73,15,1799,36,163,Vince Carter,SF,586,60,50,227
73,25,113,23,128,112,97,242,15,64,306,58,77,45,19,846,24,102,Michael Carter-Williams,PG,297,38,66,152
74,28,37,3,85,77,62,122,15,43,165,17,29,36,2,643,27,50,Omri Casspi,SF,186,23,29,112
75,23,80,45,255,255,255,479,0,2,481,101,151,75,21,1421,85,147,Willie Cauley-Stein,C,611,53,69,340
76,34,30,24,385,153,153,228,0,0,228,91,124,47,46,1298,154,126,Tyson Chandler,C,397,33,67,539
77,29,141,30,356,433,323,613,110,326,939,141,194,71,33,2197,103,172,Wilson Chandler,SF,1117,52,114,459
78,19,60,70,252,284,212,408,72,224,632,113,181,82,75,1743,96,263,Marquese Chriss,PF,753,67,108,348
79,25,4,6,30,19,19,43,0,0,43,21,29,29,0,219,26,37,Rakeem Christmas,PF,59,3,8,56
80,24,130,6,69,77,65,160,12,63,223,17,31,64,1,973,19,79,Semaj Christon,PG,183,28,43,88
81,25,90,8,100,211,150,270,61,163,433,44,58,77,0,1137,22,77,Ian Clark,SG,527,39,55,122
82,24,213,8,197,477,360,715,117,356,1071,134,168,82,19,2397,49,150,Jordan Clarkson,SG,1205,88,164,246
83,28,14,0,11,16,13,39,3,13,52,8,10,13,0,125,0,18,Norris Cole,PG,43,8,7,11
84,29,312,9,130,340,267,539,73,175,714,147,171,68,64,2063,23,119,Darren Collison,PG,900,67,114,153
85,36,12,2,21,14,14,22,0,1,23,5,8,20,0,128,9,17,Nick Collison,PF,33,2,4,30
86,29,433,19,211,464,293,590,171,419,1009,316,368,69,68,2292,31,126,Mike Conley,PG,1415,92,156,242
87,24,28,2,42,37,20,39,17,33,72,7,9,39,1,316,10,23,Pat Connaughton,SG,98,6,17,52
88,23,26,0,6,33,22,40,11,26,66,2,5,14,0,188,1,13,Quinn Cook,PG,79,4,13,7
89,26,332,92,644,647,516,1069,131,364,1433,517,670,72,72,2465,153,278,DeMarcus Cousins,C,1942,100,269,797
90,26,102,69,344,292,155,320,137,412,732,143,174,67,67,2119,92,203,Robert Covington,SF,864,127,131,436
91,24,93,20,206,303,169,345,134,302,647,105,124,79,7,2254,19,171,Allen Crabbe,SG,845,54,62,225
92,36,213,14,112,359,243,547,116,322,869,174,203,82,1,2157,17,115,Jamal Crawford,SG,1008,59,134,129
93,28,57,2,30,105,68,123,37,95,218,20,26,19,0,442,4,30,Jordan Crawford,SG,267,11,25,34
94,26,155,23,367,333,176,326,157,394,720,176,217,72,72,2335,48,161,Jae Crowder,SF,999,72,79,415
95,29,36,28,221,174,103,178,71,181,359,16,27,66,35,1649,56,100,Dante Cunningham,SF,435,39,28,277
96,26,188,7,153,338,201,381,137,322,703,85,100,70,42,2029,25,126,Seth Curry,PG,898,79,92,178
97,28,523,17,292,675,351,654,324,789,1443,325,362,79,79,2638,61,183,Stephen Curry,PG,1999,143,239,353
98,25,46,4,79,185,47,140,138,355,495,43,54,67,3,1183,21,90,Troy Daniels,SG,551,21,45,100
99,23,157,167,712,770,730,1393,40,134,1527,519,647,75,75,2708,174,168,Anthony Davis,C,2099,94,181,886
100,20,2,17,40,24,24,47,0,0,47,10,18,36,0,238,20,40,Deyonta Davis,C,58,3,8,60
101,27,27,22,147,75,75,142,0,0,142,50,81,46,12,789,96,137,Ed Davis,PF,200,15,37,243
102,27,44,61,366,161,161,259,0,0,259,65,93,76,37,1330,129,180,Dewayne Dedmon,C,387,37,61,495
103,22,76,21,190,203,143,242,60,187,429,38,68,77,2,1419,94,83,Sam Dekker,SF,504,38,41,284
104,27,193,1,113,145,119,278,26,110,388,75,93,73,2,1248,11,112,Malcolm Delaney,PG,391,39,95,124
105,26,357,0,123,208,129,319,79,215,534,82,96,76,54,1986,24,153,Matthew Dellavedova,PG,577,53,133,147
106,31,74,20,232,164,113,259,51,165,424,46,63,56,49,1486,63,61,Luol Deng,SF,425,48,43,295
107,27,290,13,316,721,688,1421,33,124,1545,545,647,74,74,2620,70,134,DeMar DeRozan,SG,2020,78,180,386
108,20,4,7,50,36,36,76,0,0,76,15,21,17,0,199,23,17,Cheick Diallo,PF,87,4,7,73
109,34,170,9,112,146,126,246,20,81,327,26,35,73,33,1283,46,83,Boris Diaw,PF,338,18,87,158
110,27,158,95,459,332,316,618,16,43,661,136,167,82,82,2653,188,254,Gorgui Dieng,PF,816,88,107,647
111,23,185,23,137,134,96,201,38,101,302,126,159,59,18,1334,27,119,Spencer Dinwiddie,PG,432,44,66,164
112,30,56,5,48,43,36,75,7,42,117,24,29,24,0,394,13,50,Toney Douglas,PG,117,18,21,61
113,30,423,13,217,534,417,835,117,289,1124,298,377,73,73,2459,61,199,Goran Dragic,PG,1483,89,212,278
114,23,89,89,771,483,481,904,2,7,911,137,355,81,81,2409,345,237,Andre Drummond,C,1105,124,152,1116
115,31,121,16,194,157,80,143,77,203,346,43,65,64,7,1362,31,154,Jared Dudley,PF,434,42,72,225
116,36,50,7,97,93,40,86,53,134,220,36,45,53,2,841,18,67,Mike Dunleavy,SF,275,15,28,115
